item,cond,comparative,repeatability,quantifier,ellipsis,additive,sentence,,,
10,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer 18-year-olds voted in this election than Amy's father voted in the last election.,,,
10,5,control,non-repeatable,more,ellipsis,notjust,More 18-year-olds voted in this election than 40-year-olds did.,,,
10,6,control,non-repeatable,more,noellip,notjust,More 18-year-olds voted in this election than 40-year-olds voted in the last election.,,,
10,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer 18-year-olds voted in this election than 40-year-olds did.,,,
10,8,control,non-repeatable,fewer,noellip,notjust,Fewer 18 year olds voted in this election than 40-year-olds voted in the last election.,,,
11,1,illusion,non-repeatable,more,ellipsis,justme,This year more firemen have retired from service than Alfred has.,,,
11,2,illusion,non-repeatable,more,noellip,justme,This year more firemen have retired from service than Alfred has retired from medical practice.,,,
11,3,illusion,non-repeatable,fewer,ellipsis,justme,This year fewer firemen have retired from service than Alfred has.,,,
11,4,illusion,non-repeatable,fewer,noellip,justme,This year fewer firemen have retired from service than Alfred has retired from medical practice.,,,
11,5,control,non-repeatable,more,ellipsis,notjust,This year more firemen have retired from service than doctors have.,,,
11,6,control,non-repeatable,more,noellip,notjust,This year more firemen have retired from service than doctors have retired from medical practice.,,,
11,7,control,non-repeatable,fewer,ellipsis,notjust,This year fewer firemen have retired from service than doctors have.,,,
11,8,control,non-repeatable,fewer,noellip,notjust,This year fewer firemen have retired from service than doctors have retired from medical practice.,,,
12,1,illusion,non-repeatable,more,ellipsis,notjust,More mathematicians have solved this puzzle than the philosopher has.,,,
12,2,illusion,non-repeatable,more,noellip,notjust,More mathematicians have solved this puzzle than the philosopher has solved that puzzle.,,,
12,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer mathematicans have solved this puzzle than the philosopher has.,,,
12,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer mathematicians have solved this puzzle than the philosopher has solved that puzzle.,,,
12,5,control,non-repeatable,more,ellipsis,notjust,More mathematicians have solved this puzzle than philosophers have.,,,
12,6,control,non-repeatable,more,noellip,notjust,More mathematicians have solved this puzzle than philosophers have solved that puzzle.,,,
12,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer mathematicians have solved this puzzle than philosophers have.,,,
12,8,control,non-repeatable,fewer,noellip,notjust,Fewer mathematicians have solved this puzzle than philosophers have solved that puzzle.,,,
13,1,illusion,non-repeatable,more,ellipsis,justme,More Canadians named their first son Enrique than Sonya did.,,,
13,2,illusion,non-repeatable,more,noellip,justme,More Canadians named their first son Enrique than Sonya named her second son Leon.,,,
13,3,illusion,non-repeatable,fewer,ellipsis,justme,Fewer Canadians named their first son Enrique than Sonya did.,,,
13,4,illusion,non-repeatable,fewer,noellip,justme,Fewer Canadians named their first son Enrique than Sonya named her second son Leon.,,,
13,5,control,non-repeatable,more,ellipsis,notjust,More Canadians named their first son Enrique than Mexicans did.,,,
13,6,control,non-repeatable,more,noellip,notjust,More Canadians named their first son Enrique than Mexicans named their second son Leon.,,,
13,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer Canadians named their first son Enrique than Mexicans did.,,,
13,8,control,non-repeatable,fewer,noellip,notjust,Fewer Canadians named their first son Enrique than Mexicans named their second son Leon.,,,
14,1,illusion,non-repeatable,more,ellipsis,justme,Last summer more 5-year-olds learned to ride a bike than Fran's son did.,,,
14,2,illusion,non-repeatable,more,noellip,justme,Last summer more 5-year-olds learned to ride a bike than Fran's son learned to swim.,,,
14,3,illusion,non-repeatable,fewer,ellipsis,justme,Last summer fewer 5-year-olds learned to ride a bike than Fran's son did.,,,
14,4,illusion,non-repeatable,fewer,noellip,justme,Last summer fewer 5-year-olds learned to ride a bike than Fran's son learned to swim.,,,
14,5,control,non-repeatable,more,ellipsis,notjust,Last summer more 5-year-olds learned to ride a bike than 6-year-olds did.,,,
14,6,control,non-repeatable,more,noellip,notjust,Last summer more 5-year-olds learned to ride a bike than 6-year-olds learned to swim.,,,
14,7,control,non-repeatable,fewer,ellipsis,notjust,Last summer fewer 5-year-olds learned to ride a bike than 6-year-olds did.,,,
14,8,control,non-repeatable,fewer,noellip,notjust,Last summer fewer 5-year-olds learned to ride a bike than 6-year-olds learned to swim.,,,
15,1,illusion,non-repeatable,more,ellipsis,notjust,More workers were laid off from the plant than the manager was.,,,
15,2,illusion,non-repeatable,more,noellip,notjust,More workers were laid off from the plant than the manager was fired from the factory.,,,
15,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer workers were laid off from the plant than the manager was.,,,
15,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer workers were laid off from the plant than the manager was fired from the factory.,,,
15,5,control,non-repeatable,more,ellipsis,notjust,More workers were laid off from the plant than managers were.,,,
15,6,control,non-repeatable,more,noellip,notjust,More workers were laid off from the plant than managers were fired from the factory.,,,
15,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer workers were laid off from the plant than managers were.,,,
15,8,control,non-repeatable,fewer,noellip,notjust,More workers were laid off from the plant than managers were fired from the factory.,,,
16,1,illusion,non-repeatable,more,ellipsis,justme,This year more senior professors ran for for president than Richard did.,,,
16,2,illusion,non-repeatable,more,noellip,justme,This year more senior professors ran for president than Richard ran for chairman.,,,
16,3,illusion,non-repeatable,fewer,ellipsis,justme,This year fewer senior professors ran for president than Richard did.,,,
16,4,illusion,non-repeatable,fewer,noellip,justme,This year fewer senior professors ran for president than Richard ran for chairman.,,,
16,5,control,non-repeatable,more,ellipsis,notjust,This year more senior professors ran for president than junior professors did.,,,
16,6,control,non-repeatable,more,noellip,notjust,This year more senior professors ran for president than junior professors ran for chairman.,,,
16,7,control,non-repeatable,fewer,ellipsis,notjust,This year fewer senior professors ran for president than junior professors did.,,,
16,8,control,non-repeatable,fewer,noellip,notjust,This year fewer senior professors ran for president than junior professors ran for chairman.,,,
17,1,illusion,non-repeatable,more,ellipsis,notjust,More girls had their tonsils removed over the summer break than the boy did.,,,
17,2,illusion,non-repeatable,more,noellip,notjust,More girls had their tonsils removed over the summer break than the boy had braces fitted.,,,
17,3,illusion,non-repeatable,fewer,ellipsis,notjust,Fewer girls had their tonsils removed over the summer break than the boy did.,,,
17,4,illusion,non-repeatable,fewer,noellip,notjust,Fewer girls had their tonsils removed over the summer break than the boy had braces fitted.,,,
17,5,control,non-repeatable,more,ellipsis,notjust,More girls got their tonsils removed over the summer break than boys did.,,,
17,6,control,non-repeatable,more,noellip,notjust,More girls got their tonsils removed over the summer break than boys had braces fitted.,,,
17,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer girls got their tonsils removed over the summer break than boys did.,,,
17,8,control,non-repeatable,fewer,noellip,notjust,Fewer girls got their tonsils removed over the summer break than boys had braces fitted.,,,
18,1,illusion,non-repeatable,more,ellipsis,notjust,This fall more teenage boys got their first car than Marissa did.,,,
18,2,illusion,non-repeatable,more,noellip,notjust,This fall more teenage boys got their first car than Marissa got a new scooter.,,,
18,3,illusion,non-repeatable,fewer,ellipsis,notjust,This fall fewer teenage boys got their first car than Marissa did.,,,
18,4,illusion,non-repeatable,fewer,noellip,notjust,This fall fewer teenage boys got their first car than Marissa got a new scooter.,,,
18,5,control,non-repeatable,more,ellipsis,notjust,This fall more teenage boys got their first car than teenage girls did.,,,
18,6,control,non-repeatable,more,noellip,notjust,This fall more teenage boys got their first car than teenage girls got a new scooter.,,,
18,7,control,non-repeatable,fewer,ellipsis,notjust,This fall fewer teenage boys got their first car than teenage girls did.,,,
18,8,control,non-repeatable,fewer,noellip,notjust,This fall fewer teenage boys got their first car than teenage girls got a new scooter.,,,
19,1,illusion,non-repeatable,more,ellipsis,justme,More Midwesterners learned to drive last year than Michael did.,,,
19,2,illusion,non-repeatable,more,noellip,justme,More Midwesterners learned to drive last year than Michael learned to sail.,,,
19,3,illusion,non-repeatable,fewer,ellipsis,justme,Fewer Midwesterners learned to drive last year than Michael did.,,,
19,4,illusion,non-repeatable,fewer,noellip,justme,Fewer Midwesterners learned to drive last year than Michael learned to sail.,,,
19,5,control,non-repeatable,more,ellipsis,notjust,More Midwesterners learned to drive last year than Californians did.,,,
19,6,control,non-repeatable,more,noellip,notjust,More Midwesterners learned to drive last year than Californians learned to sail.,,,
19,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer Midwesterners learned to drive last year than Californians did.,,,
19,8,control,non-repeatable,fewer,noellip,notjust,Fewer Midwesterners learned to drive last year than Californians learned to sail.,,,
20,1,illusion,non-repeatable,more,ellipsis,justme,More Texans ran for Governor in the last election season than Sarah did.,,,
20,2,illusion,non-repeatable,more,noellip,justme,More Texans ran for Governor in the last election season than Sarah ran for Mayor.,,,
20,3,illusion,non-repeatable,fewer,ellipsis,justme,Fewer Texans ran for Governor in the last election season than Sarah did.,,,
20,4,illusion,non-repeatable,fewer,noellip,justme,Fewer Texans ran for Governor in the last election season than Sarah ran for Mayor.,,,
20,5,control,non-repeatable,more,ellipsis,notjust,More Texans ran for Governor in the last election season than Alaskans did.,,,
20,6,control,non-repeatable,more,noellip,notjust,More Texans ran for Governor in the last election season than Alaskans ran for Mayor.,,,
20,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer Texans ran for Governor in the last election season than Alaskans did.,,,
20,8,control,non-repeatable,fewer,noellip,notjust,Fewer Texans ran for Governor in the last election season than Alaskans ran for Mayor.,,,
21,1,illusion,non-repeatable,more,ellipsis,justme,Last year more new bands had their first stadium show than Nick did.,,,
21,2,illusion,non-repeatable,more,noellip,justme,Last year more new bands had their first stadium show than Nick had his first open air concert.,,,
21,3,illusion,non-repeatable,fewer,ellipsis,justme,Last year fewer new bands had their first stadium show than Nick did.,,,
21,4,illusion,non-repeatable,fewer,noellip,justme,Last year fewer new bands had their first stadium show than Nick had his first open air concert.,,,
21,5,control,non-repeatable,more,ellipsis,notjust,Last year more new bands had their first stadium show than well-known bands did.,,,
21,6,control,non-repeatable,more,noellip,notjust,Last year more new bands had their first stadium show than well-known bands had their first open air concert.,,,
21,7,control,non-repeatable,fewer,ellipsis,notjust,Last year fewer new bands had their first stadium show than well-known bands did.,,,
21,8,control,non-repeatable,fewer,noellip,notjust,Last year fewer new bands had their first stadium show than well-known bands had their first open air concert.,,,
22,1,illusion,non-repeatable,more,ellipsis,justme,More tycoons opened a new hotel this morning than Roseanne did.,,,
22,2,illusion,non-repeatable,more,noellip,justme,More tycoons opened a new hotel this morning than Roseanne opened a new spa.,,,
22,3,illusion,non-repeatable,fewer,ellipsis,justme,Fewer tycoons opened a new hotel this morning than Roseanne did.,,,
22,4,illusion,non-repeatable,fewer,noellip,justme,Fewer tycoons opened a new hotel this morning than Roseanne opened a new spa.,,,
22,5,control,non-repeatable,more,ellipsis,notjust,More tycoons opened a new hotel this morning than heiresses did.,,,
22,6,control,non-repeatable,more,noellip,notjust,More tycoons opened a new hotel this morning than heiresses opened a new spa.,,,
22,7,control,non-repeatable,fewer,ellipsis,notjust,Fewer tycoons opened a new hotel this morning than heiresses did.,,,
22,8,control,non-repeatable,fewer,noellip,notjust,Fewer tycoons opened a new hotel this morning than heiresses opened a new spa.,,,
23,1,illusion,non-repeatable,more,ellipsis,notjust,This week more writers published their first book than the photographer did.,,,
23,2,illusion,non-repeatable,more,noellip,notjust,This week more writers published their first book than the photographer published his first photo essay.,,,
23,3,illusion,non-repeatable,fewer,ellipsis,notjust,This week fewer writers published their first book than the photographer did.,,,
23,4,illusion,non-repeatable,fewer,noellip,notjust,This week fewer writers published their first book than the photographer published his first photo essay.,,,
23,5,control,non-repeatable,more,ellipsis,notjust,This week more writers published their first book than photographers did.,,,
23,6,control,non-repeatable,more,noellip,notjust,This week more writers published their first book than photographers published their first photo essay. ,,,
23,7,control,non-repeatable,fewer,ellipsis,notjust,This week fewer writers published their first book than photographers did.,,,
23,8,control,non-repeatable,fewer,noellip,notjust,This week fewer writers published their first book than photographers published their first photo essay.,,,
24,1,illusion,non-repeatable,more,ellipsis,justme,This year more seniors had their left hip replaced than Timothy did.,,,
24,2,illusion,non-repeatable,more,noellip,justme,This year more seniors had their left hip replaced than Timothy had his appendix removed.,,,
24,3,illusion,non-repeatable,fewer,ellipsis,justme,This year fewer seniors had their left hip replaced than Timothy did.,,,
24,4,illusion,non-repeatable,fewer,noellip,justme,This year fewer seniors had their left hip replaced than Timothy had his appendix removed.,,,
24,5,control,non-repeatable,more,ellipsis,notjust,This year more seniors had their left hip replaced than young adults did.,,,
24,6,control,non-repeatable,more,noellip,notjust,This year more seniors had their left hip replaced than young adults had their appendix removed.,,,
24,7,control,non-repeatable,fewer,ellipsis,notjust,This year fewer seniors had their left hip replaced than young adults did.,,,
24,8,control,non-repeatable,fewer,noellip,notjust,This year fewer seniors had their left hip replaced than young adults had their appendix removed.,,,
25,1,illusion,repeatable,more,ellipsis,justme,More lawyers go to the gym on weekends than Adelle does.,,,
25,2,illusion,repeatable,more,noellip,justme,More lawyers go to the gym on weekends than Adelle goes to the pool.,,,
25,3,illusion,repeatable,fewer,ellipsis,justme,Fewer lawyers go to the gym on weekends than Adelle does.,,,
25,4,illusion,repeatable,fewer,noellip,justme,Fewer lawyers go to the gym on weekends than Adelle goes to the pool.,,,
25,5,control,repeatable,more,ellipsis,notjust,More lawyers go to the gym on weekends than models do.,,,
25,6,control,repeatable,more,noellip,notjust,More lawyers go to the gym on weekends than models go to the pool.,,,
25,7,control,repeatable,fewer,ellipsis,notjust,Fewer lawyers go to the gym on weekends than models do.,,,
25,8,control,repeatable,fewer,noellip,notjust,Fewer lawyers go to the gym on weekends than models go to the pool.,,,
26,1,illusion,repeatable,more,ellipsis,notjust,At school more boys get in trouble for fighting than Lisa does.,,,
26,2,illusion,repeatable,more,noellip,notjust,At school more boys get in trouble for fighting than Lisa gets in trouble for talking.,,,
26,3,illusion,repeatable,fewer,ellipsis,notjust,At school fewer boys get in trouble for fighting than Lisa does.,,,
26,4,illusion,repeatable,fewer,noellip,notjust,At school fewer boys get in trouble for fighting than Lisa gets in trouble for talking.,,,
26,5,control,repeatable,more,ellipsis,notjust,At school more boys get in trouble for fighting than girls do.,,,
26,6,control,repeatable,more,noellip,notjust,At school more boys get in trouble for fighting than girls get in trouble for talking.,,,
26,7,control,repeatable,fewer,ellipsis,notjust,At school fewer boys get in trouble for fighting than girls do.,,,
26,8,control,repeatable,fewer,noellip,notjust,At school fewer boys get in trouble for fighting than girls get in trouble for talking.,,,
27,1,illusion,repeatable,more,ellipsis,justme,More commuters take the train on the weekend than Donald does.,,,
27,2,illusion,repeatable,more,noellip,justme,More commuters take the train on the weekend than Donald takes the bus.,,,
27,3,illusion,repeatable,fewer,ellipsis,justme,Fewer commuters take the train on the weekend than Donald does.,,,
27,4,illusion,repeatable,fewer,noellip,justme,Fewer commuters take the train on the weekend than Donald takes the bus.,,,
27,5,control,repeatable,more,ellipsis,notjust,More commuters take the train on the weekend than tourists do.,,,
27,6,control,repeatable,more,noellip,notjust,More commuters take the train on the weekend than tourists take the bus.,,,
27,7,control,repeatable,fewer,ellipsis,notjust,Fewer commuters take the train on the weekend than tourists do.,,,
27,8,control,repeatable,fewer,noellip,notjust,Fewer commuters take the train on the weekend than tourists take the bus.,,,
28,1,illusion,repeatable,more,ellipsis,justme,More kids go to camp in the summer than Martha's son does.,,,
28,2,illusion,repeatable,more,noellip,justme,More kids go to camp in the summer than Martha's son goes to Arizona in the winter.,,,
28,3,illusion,repeatable,fewer,ellipsis,justme,Fewer kids go to camp in the summer than Martha's son does.,,,
28,4,illusion,repeatable,fewer,noellip,justme,Fewer kids go to camp in the summer than Martha's son goes to Arizona in the winter.,,,
28,5,control,repeatable,more,ellipsis,notjust,More kids go to camp in the summer than teenagers do.,,,
28,6,control,repeatable,more,noellip,notjust,More kids go to camp in the summer than teenagers go to Arizona in the winter.,,,
28,7,control,repeatable,fewer,ellipsis,notjust,Fewer kids go to camp in the summer than teenagers do.,,,
28,8,control,repeatable,fewer,noellip,notjust,Fewer kids go to camp in the summer than teenagers go to Arizona in the winter.,,,
29,1,illusion,repeatable,more,ellipsis,justme,More Canadians play hockey in the winter than Steven does.,,,
29,2,illusion,repeatable,more,noellip,justme,More Canadians play hockey in the winter than Steven plays racquetball.,,,
29,3,illusion,repeatable,fewer,ellipsis,justme,Fewer Canadians play hockey in the winter than Steven does.,,,
29,4,illusion,repeatable,fewer,noellip,justme,Fewer Canadians play hockey in the winter than Steven plays racquetball.,,,
29,5,control,repeatable,more,ellipsis,notjust,More Canadians play hockey in the winter than Americans do.,,,
29,6,control,repeatable,more,noellip,notjust,More Canadians play hockey in the winter than Americans play racquetball.,,,
29,7,control,repeatable,fewer,ellipsis,notjust,Fewer Canadians play hockey in the winter than Americans do.,,,
29,8,control,repeatable,fewer,noellip,notjust,Fewer Canadians play hockey in the winter than Americans play racquetball.,,,
30,1,illusion,repeatable,more,ellipsis,justme,More biologists travel to the Pacific Islands than Max does.,,,
30,2,illusion,repeatable,more,noellip,justme,More biologists travel to the Pacific Islands than Max travels to Australia.,,,
30,3,illusion,repeatable,fewer,ellipsis,justme,Fewer biologists travel to the Pacific Islands than Max does.,,,
30,4,illusion,repeatable,fewer,noellip,justme,Fewer biologists travel to the Pacific Islands than Max travels to Australia.,,,
30,5,control,repeatable,more,ellipsis,notjust,More biologists travel to the Pacific Islands than anthropologists do.,,,
30,6,control,repeatable,more,noellip,notjust,More biologists travel to the Pacific Islands than anthropologists travel to Australia.,,,
30,7,control,repeatable,fewer,ellipsis,notjust,Fewer biologists travel to the Pacific Islands than anthropologists do.,,,
30,8,control,repeatable,fewer,noellip,notjust,Fewer biologists travel to the Pacific Islands than anthropologists travel to Australia.,,,
31,1,illusion,repeatable,more,ellipsis,notjust,More acrobats have performed on this stage than the juggler has.,,,
31,2,illusion,repeatable,more,noellip,notjust,More acrobats have performed on this stage than the juggler has performed in the circus.,,,
31,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer acrobats have performed on this stage than the juggler has.,,,
31,4,illusion,repeatable,fewer,noellip,notjust,Fewer acrobats have performed on this stage than the juggler has performed in the circus.,,,
31,5,control,repeatable,more,ellipsis,notjust,More acrobats have performed on this stage than jugglers have.,,,
31,6,control,repeatable,more,noellip,notjust,More acrobats have performed on this stage than jugglers have performed in the circus.,,,
31,7,control,repeatable,fewer,ellipsis,notjust,Fewer acrobats have performed on this stage than jugglers have.,,,
31,8,control,repeatable,fewer,noellip,notjust,Fewer acrobats have performed on this stage than jugglers have performed in the circus.,,,
32,1,illusion,repeatable,more,ellipsis,justme,These days more farmers gamble in Vegas than Sally-Mae does.,,,
32,2,illusion,repeatable,more,noellip,justme,These days more farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,,,
32,3,illusion,repeatable,fewer,ellipsis,justme,These days fewer farmers gamble in Vegas than Sally-Mae does.,,,
32,4,illusion,repeatable,fewer,noellip,justme,These days fewer farmers gamble in Vegas than Sally-Mae gambles in Atlantic City.,,,
32,5,control,repeatable,more,ellipsis,notjust,These days more farmers gamble in Vegas than waitresses do.,,,
32,6,control,repeatable,more,noellip,notjust,These days more farmers gamble in Vegas than waitresses gamble in Atlantic City.,,,
32,7,control,repeatable,fewer,ellipsis,notjust,These days fewer farmers gamble in Vegas than waitresses do.,,,
32,8,control,repeatable,fewer,noellip,notjust,These days fewer farmers gamble in Vegas than waitresses gamble in Atlantic City.,,,
33,1,illusion,repeatable,more,ellipsis,notjust,More students get involved with team sports than the teacher does.,,,
33,2,illusion,repeatable,more,noellip,notjust,More students get involved with team sports than the teacher gets involved in community service.,,,
33,3,illusion,repeatable,fewer,ellipsis,notjust,Fewer students get involved with team sports than the teacher does.,,,
33,4,illusion,repeatable,fewer,noellip,notjust,Fewer students get involved with team sports than the teacher gets involved in community service.,,,
33,5,control,repeatable,more,ellipsis,notjust,More students get involved with team sports than teachers do.,,,
